item_id,surviving,flesch_kincaid_grade,mean_sentence_length,med_term_density,word_count,sentence_count
LMQ-00022b906ea4,True,6.790687830687833,19.285714285714285,12.592592592592592,135,7
LMQ-012dace07806,False,5.3592841163310965,16.555555555555557,9.933774834437086,149,9
LMQ-0154680f89ee,True,7.9674516574585645,22.625,13.661202185792352,181,8
LMQ-01f3746878d7,True,6.540786423841059,18.875,13.245033112582782,151,8
LMQ-024246efd830,True,5.770179972311954,17.90909090909091,10.44776119402985,197,11
LMQ-02c268aed7f9,True,10.535714285714288,23.333333333333332,8.571428571428571,70,3
LMQ-037610d82aca,False,5.880000000000003,19.666666666666668,11.016949152542372,118,6
LMQ-05573f2bd462,False,7.754396226415096,15.9,20.121951219512198,159,10
LMQ-05996a02a540,True,8.700098039215685,25.5,8.823529411764707,102,4
LMQ-06eb298956dd,True,7.631096625766872,20.375,12.883435582822086,163,8
LMQ-0715c3227d2c,True,6.310588235294119,17.0,13.793103448275861,170,10
LMQ-076c1bf491c0,False,6.550852534562214,15.5,19.911504424778762,217,14
LMQ-07b48c95b582,True,6.420320512820513,16.25,15.92039800995025,195,12
LMQ-07c2f1f93c09,True,7.8654355400696865,23.428571428571427,12.727272727272727,164,7
LMQ-07c89cba676a,True,6.849473684210526,19.0,7.368421052631578,95,5
LMQ-07d4e4f31e05,False,5.639467213114756,15.25,3.125,61,4
LMQ-086929bbaf0c,True,7.739999999999998,22.0,14.204545454545455,176,8
LMQ-08aae87c17fc,True,6.4312677304964545,17.625,9.929078014184398,141,8
LMQ-08ca5e6fbc3e,False,8.621298245614039,22.8,10.526315789473683,114,5
LMQ-0adcfc07fa33,False,6.528465608465609,19.285714285714285,9.62962962962963,135,7
LMQ-0b6397e00fb5,True,8.639868421052633,23.75,11.052631578947368,190,8
LMQ-0b92ddd38b76,False,7.477809523809523,21.428571428571427,6.0,150,7
LMQ-0c071ca61c99,True,7.117071290944125,19.22222222222222,7.954545454545454,173,9
LMQ-0c5b183cf6ee,True,8.654795918367348,24.5,9.45945945945946,147,6
LMQ-0dc2145174b4,True,8.556000000000001,25.0,3.8834951456310676,100,4
LMQ-0e24fbb7f970,True,6.264888059701494,16.75,11.76470588235294,67,4
LMQ-0e5d597b12dd,False,8.70027027027027,24.666666666666668,7.174887892376682,222,9
LMQ-0ece2914b193,True,6.290417582417582,18.2,4.081632653061225,91,5
LMQ-1088cd90224c,True,5.474842767295598,17.666666666666668,6.918238993710692,159,9
LMQ-10a2a27210bb,True,6.6970778145695355,18.875,12.5,151,8
LMQ-118f86834756,True,4.305294117647058,14.705882352941176,12.45136186770428,250,17
LMQ-128b67269470,True,6.42463366336634,20.2,9.803921568627452,101,5
LMQ-1374067fd003,True,6.6365413533834605,19.0,7.462686567164178,133,7
LMQ-142156dd920a,True,6.842000000000002,20.0,11.0,100,5
LMQ-15485c06aefe,False,5.799536082474226,16.166666666666668,14.572864321608039,194,12
LMQ-1567ffa67093,True,7.701915584415584,19.25,14.102564102564102,77,4
LMQ-159354aaedd8,False,8.347058823529412,22.666666666666668,11.76470588235294,68,3
LMQ-162587625c13,True,7.078787878787878,18.333333333333332,9.036144578313253,165,9
LMQ-16e905d8c595,True,7.105020408163266,19.6,6.122448979591836,98,5
LMQ-171d7608680a,True,11.34874031007752,32.25,10.76923076923077,129,4
LMQ-186715b63bf2,True,5.969320679320678,16.545454545454547,10.92896174863388,182,11
LMQ-18920087d56b,True,5.990000000000002,18.153846153846153,6.329113924050633,236,13
LMQ-18aacabb19a5,True,8.697532467532469,25.142857142857142,14.772727272727273,176,7
LMQ-192eebde4f17,False,7.869444444444444,22.5,14.814814814814813,135,6
LMQ-194b94038b99,True,6.399090909090912,22.0,3.0303030303030303,66,3
LMQ-19656c152ac4,False,8.328053435114509,21.833333333333332,11.450381679389313,131,6
LMQ-1b81bdad880a,True,5.4384787472035825,16.555555555555557,8.053691275167784,149,9
LMQ-1c14927e6027,False,7.675906593406598,22.75,10.869565217391305,91,4
LMQ-1c4197595f10,False,8.27416666666667,24.0,2.083333333333333,48,2
LMQ-1cbfe162416f,True,4.662500000000001,16.0,8.035714285714286,112,7
LMQ-1edf6dc843b0,False,8.5722009202454,20.375,9.696969696969697,163,8
LMQ-1ee3d2f9e53a,False,8.050897435897436,19.5,9.243697478991598,117,6
LMQ-1ef589544fa7,True,6.791132286995516,18.583333333333332,8.482142857142858,223,12
